,country,points,price,province,region_1,taster_name,variety,descLen,compound,year
2884,3,89,49.0,4,32,3,15,183,0.836,2007.0
398,11,90,17.0,44,66,9,41,312,0.8402,2007.0
113,1,88,18.0,45,72,3,44,222,0.8158,2006.0
2733,8,91,20.0,108,11,13,22,277,0.3612,2015.0
6236,3,84,28.0,4,23,10,47,197,-0.5023,1998.0
6427,1,85,40.0,45,315,1,76,234,0.6249,2012.0
7401,2,91,54.0,33,52,2,48,277,0.8176,2002.0
8825,3,84,35.0,4,154,3,47,243,0.9509,2005.0
4688,1,86,9.0,50,235,3,60,228,0.7003,2009.0
4237,11,91,24.0,25,56,9,36,342,0.7717,2006.0
8600,2,93,48.0,31,46,2,6,321,0.8689,2012.0
3760,11,92,69.0,25,257,9,115,324,0.8442,2009.0
9672,6,80,14.0,13,127,9,5,182,0.1901,2009.0
8325,1,86,16.0,1,1,2,42,141,0.9493,2002.0
7265,2,90,28.0,2,2,2,9,184,0.8468,2012.0
6876,1,91,16.0,1,1,8,178,275,0.9062,2002.0
5608,1,85,13.0,37,59,3,123,195,-0.5719,2011.0
6419,3,83,25.0,4,58,11,9,169,-0.128,2012.0
4710,1,88,29.0,3,3,1,3,260,0.0258,2011.0
9856,3,90,125.0,4,44,4,15,219,0.3182,2012.0
8928,3,89,55.0,7,45,10,18,264,0.4767,2006.0
8440,6,85,15.0,13,339,9,15,290,0.0,2011.0
4507,8,90,18.0,32,11,13,188,220,0.9062,2015.0
4847,3,84,14.0,4,58,3,18,113,0.8977,2010.0
9812,3,89,39.0,4,23,4,18,320,0.4927,2008.0
9894,3,88,40.0,7,88,6,43,230,0.0,2010.0
2243,6,85,10.0,13,127,9,19,237,0.0,2010.0
9449,2,87,22.0,41,414,2,4,192,0.0516,2010.0
7219,3,88,65.0,23,40,10,4,179,0.596,2012.0
774,3,87,20.0,4,23,3,26,193,0.7,2007.0
3913,2,91,18.0,31,46,2,22,255,0.8625,2011.0
8964,3,86,45.0,4,376,3,4,130,0.0,2009.0
1696,3,92,30.0,7,172,6,18,283,0.5267,2012.0
2063,11,90,22.0,25,56,9,55,284,0.743,2013.0
7372,2,93,25.0,6,158,2,20,205,0.8481,2005.0
5443,1,93,28.0,37,291,1,18,260,0.6486,2014.0
6820,3,87,14.0,5,67,5,64,195,0.7351,2012.0
186,11,92,40.0,25,98,9,55,295,0.8957,2009.0
9750,2,89,18.0,36,721,2,210,209,0.6369,2012.0
4234,3,91,19.0,23,40,10,51,258,0.2732,2015.0
7476,3,89,42.0,4,4,3,5,229,0.695,2006.0
4367,11,82,9.0,25,56,9,73,218,-0.5279,2013.0
5790,3,86,15.0,4,133,4,5,144,0.4588,2010.0
